scenario_name,auction_type,delivery_year,clearing_price_gbp_per_kw_year,derating_factor,asset_duration_hours,contracted_mw_nameplate,source_id,source_url,source_date,notes
t1_2025_26_two_hour_research_anchor,T-1,2025/26,20.0,0.2715,2.0,50.0,MODO_CM_DERATING_2024_25_ANCHOR,https://modoenergy.com/research/en/gb-capacity-market-2025-bess-derating-factors-confirmed-target-capacity,2024-08-12,"Research-anchor 2h BESS derating only; clearing price from public statutory/auction result reporting; not a central official derating default."
t4_2028_29_two_hour_research_anchor,T-4,2028/29,60.0,0.2094,2.0,50.0,MODO_CM_DERATING_2024_25_ANCHOR,https://modoenergy.com/research/en/gb-capacity-market-2025-bess-derating-factors-confirmed-target-capacity,2024-08-12,"Research-anchor 2h BESS derating only; clearing price from 2024 T-4 auction monitor report; not a central official derating default."
